State,1stBindingYear,1stEnactmentYear,1stEffectiveYear
Arizona,2001,1998,1999
California,2004,2002,2003
Colorado,2007,2004,2004
Connecticut,2001,1998,1998
Delaware,2007,2005,2006
Illinois,2008,2007,2007
Kansas,2011,2009,2009
Maine,2000,1999,1999
Maryland,2006,2004,2004
Massachusetts,2003,1997,2002
Michigan,2012,2008,2008
Minnesota,2005,2000,2000
Missouri,2011,2008,2008
Montana,2008,2005,2005
Nevada,2003,1997,1997
New Hampshire,2008,2007,2007
New Jersey,2001,1999,1999
New Mexico,2006,2004,2004
New York,2006,2004,2004
North Carolina,2010,2007,2008
Ohio,2009,2008,2008
Oregon,2011,2007,2007
Pennsylvania,2007,2004,2005
Rhode Island,2007,2004,2004
Texas,2002,1999,1999
Washington,2012,2006,2006
Wisconsin,2000,1998,1998
