"year","count","context_30","order.ave","renewable.ave","pollution.ave","total"
2001,32,NA,0.00109294920108532,8.0646033620295e-05,1.49342891278375e-06,1578.125
2006,6,0.000620001467459095,0.00992405364352437,0.000541679466430595,0,13579.5
2007,7,0,0.0251032906789193,0.000503820727235085,0,6101.42857142857
2008,6,0.000750394319686443,0.0201303807380774,0.000545792473424683,1.59672989717059e-05,8777.83333333333
2009,4,6.61375661375661e-05,0.024021622406685,0.000830763655616268,0,7907.5
2010,4,0.000244953948657652,0.0152925414047702,0.000313730689643225,0,6346.5
2011,16,0.00117230453825366,0.0128274528935266,0.00176208697491892,5.86799361562295e-06,19086.5
2012,16,0.00229280083735141,0.0141465554354318,0.00158240258594576,5.75736434043086e-05,11014.1875
2013,26,0.000793158333305322,0.014513427367376,0.00135765274548627,4.26746416209621e-05,16688.3076923077
2014,54,NA,0.0134765598869257,0.00424408821140847,0.000153063449704022,9261.40740740741
2015,92,0.00308949869204326,0.0135772735357749,0.00312905562595953,0.000107528981365671,7420.73913043478
2016,36,0.00298588041529227,0.0197403320183351,0.00310889878814326,0.000102114177711307,4213.83333333333
