"","State","Gas","Year","Electric","Year","Comments"
"1","Alabama","No","N/A","No","N/A","No Comments"
"2","Alaska","No","N/A","No","N/A","No Comments"
"3","Arizona","No","N/A","No","N/A","In 2004 energy regulation was placed on hold due to various regulatory orders."
"4","Arkansas","No","N/A","No","N/A","In 2003 Bill 1114 was signed to reverse energy deregulation laws."
"5","California","Yes","1995","Yes*","N/A","*California’s electric choice works on a very limited lottery system called DirectAcccess."
"6","Colorado","Yes","1999","No","N/A","Colorado is Natural Gas Deregulated, however no utilities currently offer choice programs."
"7","Connecticut","Yes*","1996","Yes","1998","Gas choice is partial and very limited."
"8","Delaware","No*","N/A","Yes","1999","Gas choice was trialed and discontinued."
"9","Florida","Yes","2002","No","N/A","No Comments"
"10","Georgia","Yes","1998","No","N/A","No Comments"
"11","Hawaii","No","N/A","No","N/A","No Comments"
"12","Idaho","No","N/A","No","N/A","No Comments"
"13","Illinois","Yes","2002","Yes","1997","Approximately 75% of the state of Illinois is eligible for Natural Gas Choice."
"14","Indiana","Yes","1998","No","N/A","Natural Gas Choice is only availableÂ for NIPSCOÂ customers."
"15","Iowa","Yes*","1997","No","N/A","*Natural Gas Choice is only available to a small number of consumers."
"16","Kansas","No","N/A","No","N/A","No Comments"
"17","Kentucky","Yes","2000","No","N/A","No Comments"
"18","Louisiana","No","N/A","No","N/A","No Comments"
"19","Maine","Yes*","1998","Yes","2000","*Natural Gas Choice underwent more of a ‘restructuring’ process.Â It is only available to Industrial and Commercial consumers."
"20","Maryland","Yes*","1995","Yes","1999","*Some residential, commercial and industrial customers in some areas of Maryland are not eligible for Natural Gas Choice."
"21","Massachusetts","Yes","1998","Yes","1998","No Comments"
"22","Michigan","Yes","2008","Yes","1998","No Comments"
"23","Minnesota","No","N/A","No","N/A","No Comments"
"24","Mississippi","No","N/A","No","N/A","No Comments"
"25","Missouri","No","N/A","No","N/A","No Comments"
"26","Montana","Yes","1986","No","N/A","No Comments"
"27","Nebraska","Yes","1998","No","N/A","No Comments"
"28","Nevada","No","N/A","No","N/A","Nevada is currently campaigning to adopt energy deregulation. The status of this state could change in the near future."
"29","New Hampshire","Yes*","1998","Yes","1998","*New Hampshire does not offer Natural Gas Choice to residential customers at this time."
"30","New Jersey","Yes","1999","Yes","1999","No Comments"
"31","New Mexico","Yes","1980s","No","N/A","Natural Gas Choice is available however, participation is very limited."
"32","New York","Yes","1999","Yes","1997","No Comments"
"33","North Carolina","No","N/A","No","N/A","No Comments"
"34","North Dakota","No","N/A","No","N/A","No Comments"
"35","Ohio","Yes","1997","Yes","1996","No Comments"
"36","Oklahoma","No","N/A","No","N/A","In 2001 Senate Bill 440 was signed for further investigation and study of the impacts of energy deregulation."
"37","Oregon","No","N/A","Yes","1997","No Comments"
"38","Pennsylvania","Yes","1999","Yes","1996","No Comments"
"39","Rhode Island","Yes","1996","Yes","1996","No Comments"
"40","South Carolina","No","N/A","No","N/A","No Comments"
"41","South Dakota","Yes","2005","No","N/A","No Comments"
"42","Tennessee","No","N/A","No","N/A","No Comments"
"43","Texas","No","N/A","Yes","2002","Electricity deregulation is available to 85% of Texans."
"44","Utah","No","N/A","No","N/A","No Comments"
"45","Vermont","No","N/A","No","N/A","No Comments"
"46","Virginia","Yes","2001","Yes","2007","Both Natural Gas and Electric Choice programs are limited for residential consumers."
"47","Washington","No","N/A","No","N/A","No Comments"
"48","Washington DC","Yes","1999","Yes","2001","No Comments"
"49","West Virginia","Yes","2010","No","N/A","Natural Gas Choice is available but participation is very limited."
"50","Wisconsin","No*","N/A","No","N/A","*Wisconsin’s Natural Gas Choice program was discontinued in 2001."
"51","Wyoming","Yes","1996","No","N/A","Wyoming Choice Gas program allows consumers to select or switch their supplier during a specific defined period through Source Gas Utility."
