"","year","month",""
"1","2001","01","10"
"2","2001","02","27"
"3","2001","03","51"
"4","2001","04","87"
"5","2001","05","120"
"6","2001","06","142"
"7","2001","07","173"
"8","2001","08","172"
"9","2001","09","126"
"10","2001","10","94"
"11","2001","11","71"
"12","2001","12","37"
"13","2002","01","28"
"14","2002","02","38"
"15","2002","03","48"
"16","2002","04","91"
"17","2002","05","107"
"18","2002","06","152"
"19","2002","07","182"
"20","2002","08","159"
"21","2002","09","133"
"22","2002","10","81"
"23","2002","11","54"
"24","2002","12","33"
"25","2003","01","20"
"26","2003","02","19"
"27","2003","03","60"
"28","2003","04","82"
"29","2003","05","114"
"30","2003","06","137"
"31","2003","07","181"
"32","2003","08","175"
"33","2003","09","123"
"34","2003","10","101"
"35","2003","11","56"
"36","2003","12","34"
"37","2004","01","5"
"38","2004","02","26"
"39","2004","03","71"
"40","2004","04","86"
"41","2004","05","117"
"42","2004","06","138"
"43","2004","07","160"
"44","2004","08","147"
"45","2004","09","125"
"46","2004","10","98"
"47","2004","11","64"
"48","2004","12","32"
"49","2005","01","25"
"50","2005","02","43"
"51","2005","03","55"
"52","2005","04","84"
"53","2005","05","109"
"54","2005","06","141"
"55","2005","07","180"
"56","2005","08","163"
"57","2005","09","136"
"58","2005","10","99"
"59","2005","11","68"
"60","2005","12","18"
"61","2006","01","45"
"62","2006","02","31"
"63","2006","03","57"
"64","2006","04","97"
"65","2006","05","118"
"66","2006","06","151"
"67","2006","07","184"
"68","2006","08","165"
"69","2006","09","121"
"70","2006","10","85"
"71","2006","11","66"
"72","2006","12","39"
"73","2007","01","10"
"74","2007","02","16"
"75","2007","03","73"
"76","2007","04","78"
"77","2007","05","119"
"78","2007","06","146"
"79","2007","07","176"
"80","2007","08","174"
"81","2007","09","131"
"82","2007","10","102"
"83","2007","11","65"
"84","2007","12","24"
"85","2008","01","4"
"86","2008","02","29"
"87","2008","03","53"
"88","2008","04","75"
"89","2008","05","108"
"90","2008","06","144"
"91","2008","07","170"
"92","2008","08","157"
"93","2008","09","124"
"94","2008","10","93"
"95","2008","11","63"
"96","2008","12","12"
"97","2009","01","8"
"98","2009","02","40"
"99","2009","03","58"
"100","2009","04","79"
"101","2009","05","116"
"102","2009","06","140"
"103","2009","07","158"
"104","2009","08","155"
"105","2009","09","130"
"106","2009","10","77"
"107","2009","11","70"
"108","2009","12","2"
"109","2010","01","7"
"110","2010","02","11"
"111","2010","03","61"
"112","2010","04","89"
"113","2010","05","110"
"114","2010","06","149"
"115","2010","07","177"
"116","2010","08","169"
"117","2010","09","132"
"118","2010","10","100"
"119","2010","11","55"
"120","2010","12","17"
"121","2011","01","3"
"122","2011","02","22"
"123","2011","03","59"
"124","2011","04","83"
"125","2011","05","106"
"126","2011","06","145"
"127","2011","07","183"
"128","2011","08","178"
"129","2011","09","127"
"130","2011","10","96"
"131","2011","11","62"
"132","2011","12","35"
"133","2012","01","37"
"134","2012","02","42"
"135","2012","03","76"
"136","2012","04","95"
"137","2012","05","122"
"138","2012","06","150"
"139","2012","07","185"
"140","2012","08","167"
"141","2012","09","129"
"142","2012","10","92"
"143","2012","11","65"
"144","2012","12","36"
"145","2013","01","15"
"146","2013","02","30"
"147","2013","03","50"
"148","2013","04","74"
"149","2013","05","113"
"150","2013","06","148"
"151","2013","07","171"
"152","2013","08","162"
"153","2013","09","134"
"154","2013","10","90"
"155","2013","11","52"
"156","2013","12","9"
"157","2014","01","6"
"158","2014","02","13"
"159","2014","03","49"
"160","2014","04","80"
"161","2014","05","115"
"162","2014","06","143"
"163","2014","07","164"
"164","2014","08","156"
"165","2014","09","128"
"166","2014","10","103"
"167","2014","11","46"
"168","2014","12","41"
"169","2015","01","23"
"170","2015","02","21"
"171","2015","03","69"
"172","2015","04","89"
"173","2015","05","112"
"174","2015","06","153"
"175","2015","07","168"
"176","2015","08","161"
"177","2015","09","139"
"178","2015","10","104"
"179","2015","11","67"
"180","2015","12","44"
"181","2016","01","14"
"182","2016","02","47"
"183","2016","03","72"
"184","2016","04","88"
"185","2016","05","111"
"186","2016","06","154"
"187","2016","07","179"
"188","2016","08","166"
"189","2016","09","135"
"190","2016","10","105"
